**Grading:** `A` = official + free + machine-readable، `B` = official/free but with delay, manual files, registration, or licensing caveats، `C` = reputable third-party free tier، `D` = marketplace/listing data only.

> **Important for the AI:** `price`, `price_index`, `asking_price`, `transaction_price`, `reference_price`, and `MSRP` are different data types and must never be mixed without explicit conversion/normalization.

### Economic Data Source Registry

| Country            | Code     | Category                   | Preferred Source                                                      | Data Available                                                                                                                          | Access / Format                                                | Free Status / Caveat                                                                                                          | Grade                                                  |
| Brazil             | `br`     | Vehicles                   | **FIPE Vehicle Price Table**                                          | Average reference vehicle price by model/model-year and reference month in BRL                                                          | Public model-by-model query                                    | Free official public consultation; FIPE explicitly does **not** provide bulk database download                                | **B** ([Fipe][13])                                     |
| Brazil             | `br`     | Vehicles – Market          | **Webmotors**                                                         | Current used/new vehicle advertisements                                                                                                 | Website/listings                                               | Asking prices; use only as secondary market evidence                                                                          | **D**                                                  |
| **Canada**         | `ca`     | Stocks                     | **TSX / TSXV – TMX Market Statistics & Daily Trading Reports**        | Trading reports, volumes and market statistics                                                                                          | Official downloadable/report pages                             | Free reports; not equivalent to a free full real-time exchange feed                                                           | **B** ([TSX][14])                                      |
| Canada             | `ca`     | Consumer / Essential Goods | **Statistics Canada**                                                 | CPI, food/energy/consumer categories, economic statistics and selected price tables                                                     | Web Data Service JSON, SDMX, bulk CSV                          | Free official                                                                                                                 | **A** ([Statistics Canada][15])                        |
| Canada             | `ca`     | Property                   | **Statistics Canada – New Housing Price Index (NHPI)**                | New-house price index, house component, land component, geography                                                                       | CSV/SDMX/statistical tables                                    | Free official; primarily new housing rather than individual existing-home transactions                                        | **A** ([Statistics Canada][16])                        |
| Canada             | `ca`     | Vehicles                   | **AutoTrader Canada / CarGurus Canada**                               | Vehicle asking prices, model, year, mileage, location                                                                                   | Website/listings                                               | Marketplace prices only                                                                                                       | **D**                                                  |
| **China**          | `cn`     | Stocks                     | **Shanghai Stock Exchange (SSE) + Shenzhen Stock Exchange (SZSE)**    | Listed securities, prices, market statistics, trading information                                                                       | Official exchange pages/downloads                              | Public information is free; professional real-time feeds are licensed                                                         | **B** ([Shanghai Stock Exchange][17])                  |
| China              | `cn`     | Consumer / Essential Goods | **National Bureau of Statistics of China (NBS)**                      | CPI, PPI, food/consumer categories and other official price indicators                                                                  | Official statistical website/tables                            | Free official; automation may require site-specific retrieval rather than a simple public REST API                            | **B**                                                  |
| China              | `cn`     | Property                   | **NBS – 70 Large and Medium-Sized Cities Residential Prices**         | New-home and second-hand-home sales price indices by city                                                                               | Monthly official statistical releases/tables                   | Free official; predominantly index data                                                                                       | **A/B** ([National Bureau of Statistics of China][18]) |
| China              | `cn`     | Vehicles                   | **Autohome**                                                          | New-car guide prices, model/specifications, listings and some owner-reported purchase-price information                                 | Website                                                        | Useful market evidence, but not an official transaction database                                                              | **D**                                                  |
| **Finland**        | `fi`     | Stocks                     | **Nasdaq Helsinki / Nasdaq Nordic MiFID II Delayed Data**             | Pre/post-trade market data                                                                                                              | Downloadable CSV                                               | Free ~15-minute-delayed data; commercial redistribution may require licensing                                                 | **B** ([Nasdaq][19])                                   |
| Finland            | `fi`     | Consumer / Essential Goods | **Statistics Finland – StatFin**                                      | CPI and detailed economic/price statistics                                                                                              | PxWeb/API/downloads                                            | Free official statistical database                                                                                            | **A** ([StatFin][20])                                  |
| Finland            | `fi`     | Property                   | **Statistics Finland – StatFin, tables `15iq`, `15is`, `13mt`**       | Price index, average EUR/m², transaction counts, region/building type, monthly/quarterly series                                         | PxWeb API                                                      | Free official tables. Some separate highly detailed property database products are chargeable, so use the free StatFin tables | **A** ([StatFin][21])                                  |
| Finland            | `fi`     | Vehicles                   | **Nettiauto**                                                         | Vehicle listings, asking price, model/year/mileage                                                                                      | Website/listings                                               | Asking-price market data only                                                                                                 | **D**                                                  |
| **France**         | `fr`     | Stocks                     | **Euronext Paris – Delayed Data**                                     | Equity pre/post-trade prices and transactions                                                                                           | CSV                                                            | Free delayed data; licensing/redistribution conditions apply                                                                  | **B** ([Euronext][8])                                  |
| France             | `fr`     | Consumer / Essential Goods | **INSEE BDM + Eurostat**                                              | CPI/HICP, price indices, food, energy, housing, services and macroeconomic time series                                                  | INSEE SDMX/REST + Eurostat REST/SDMX                           | Free official                                                                                                                 | **A** ([Insee][22])                                    |
| France             | `fr`     | Property                   | **DVF – Demandes de valeurs foncières / DGFiP**                       | **Actual real-estate transactions**, transaction value, property/land characteristics and geography                                     | Downloadable TXT/data files; DVF+/GeoJSON interfaces           | Free/open official data; one of the strongest property sources in this registry                                               | **A** ([data.gouv.fr][23])                             |
| France             | `fr`     | Vehicles                   | **La Centrale / Leboncoin**                                           | Used/new vehicle asking prices and attributes                                                                                           | Website/listings                                               | Market listings, not official executed transaction prices                                                                     | **D**                                                  |
| **Germany**        | `de`     | Stocks                     | **Deutsche Börse / Xetra Delayed Data**                               | Pre-trade and post-trade data for Xetra and Börse Frankfurt                                                                             | `.gz` files containing JSON                                    | Free, **15-minute delayed**, new information once per minute                                                                  | **A/B** ([Deutsche Börse Market Data Services][24])    |
| Germany            | `de`     | Consumer / Essential Goods | **Destatis GENESIS-Online + Eurostat**                                | CPI, prices, industry, production, construction and extensive economic statistics                                                       | RESTful JSON API + CSV/XLSX; Eurostat SDMX                     | Free; GENESIS is explicitly usable without registration                                                                       | **A** ([Destatis][25])                                 |
| Germany            | `de`     | Property                   | **Destatis GENESIS – Residential Property Price Indices**             | House Price Index, new/existing residential property indices; land/construction-related indices                                         | REST/JSON + CSV/XLSX                                           | Free official; mostly indices, not individual transactions                                                                    | **A** ([GENESIS-Online][26])                           |
| Germany            | `de`     | Land                       | **BORIS-D / state BORIS portals**                                     | Official standard land values (`Bodenrichtwerte`) and geographic land-value zones                                                       | State/open geodata portals                                     | Availability and machine access differ by German Land; use where openly accessible                                            | **A/B**                                                |
| Germany            | `de`     | Vehicles                   | **mobile.de / AutoScout24 Germany**                                   | Large vehicle-listing universe; price, registration year, mileage, model and attributes                                                 | Website/listings                                               | Asking prices only; verify terms before automated collection                                                                  | **D**                                                  |
| **Iran**           | `ir`     | Stocks                     | **TSETMC – Tehran Securities Exchange Technology Management**         | Quotes, market watch, prices, volume, trades, index/market information                                                                  | Public website and public-facing data endpoints                | Free public data, but endpoints are not documented as a stable public developer API; build a resilient adapter                | **B** ([GitHub][27])                                   |
| Iran               | `ir`     | Company Fundamentals       | **CODAL**                                                             | Issuer disclosures, financial statements, periodic reports, material events                                                             | Web-based disclosure system/files                              | Free official disclosure source                                                                                               | **A/B** ([Codal][28])                                  |
| Iran               | `ir`     | Consumer / Essential Goods | **Statistical Center of Iran (SCI)**                                  | CPI, inflation, food/housing/services categories and statistical reports                                                                | Statistical tables/files                                       | Official and generally free; machine-readable accessibility varies by dataset                                                 | **B**                                                  |
| Iran               | `ir`     | Property                   | **Statistical Center of Iran**                                        | Housing/rent indices and real-estate statistical series where published                                                                 | Statistical publications/tables                                | Official but coverage and machine-readable access can be irregular                                                            | **B** ([UNECE][29])                                    |
| Iran               | `ir`     | Vehicles                   | **Bama / Divar**                                                      | Used/new vehicle advertisements, make/model/year/mileage/asking price                                                                   | Website/listings                                               | Asking price only                                                                                                             | **D**                                                  |
| Iran               | `ir`     | New Vehicles               | **Iran Khodro / SAIPA official sales information**                    | Official advertised/factory prices for new models when published                                                                        | Manufacturer websites/notices                                  | Use as `official_new_vehicle_price` or `MSRP/factory_price`, never as used-market price                                       | **B**                                                  |
| **Italy**          | `it`     | Stocks                     | **Euronext Milan / Borsa Italiana delayed data**                      | Equity post-/pre-trade information                                                                                                      | Euronext delayed CSV                                           | Free delayed data; redistribution restrictions apply                                                                          | **B** ([Euronext][8])                                  |
| Italy              | `it`     | Consumer / Essential Goods | **ISTAT + Eurostat**                                                  | CPI/HICP and economic/price statistics                                                                                                  | SDMX web service/API + downloads                               | Free; ISTAT web service has rate limits                                                                                       | **A** ([Istat][30])                                    |
| Italy              | `it`     | Property                   | **Agenzia delle Entrate – OMI**                                       | Minimum/maximum market and rental values by OMI zone, property category and condition                                                   | Official web/database                                          | Free official **valuation ranges** in €/m²; not individual transaction prices                                                 | **A/B** ([Agenzia Entrate][31])                        |
| Italy              | `it`     | Vehicles                   | **AutoScout24 Italy / Subito**                                        | Vehicle listings and asking prices                                                                                                      | Website/listings                                               | Marketplace asking prices                                                                                                     | **D**                                                  |
| **Japan**          | `jp`     | Stocks                     | **Japan Exchange Group (JPX/TSE)**                                    | Monthly quotations by security, OHLC, volume and trading value; market statistics                                                       | Official downloadable tables/files                             | Free official but not a free full real-time feed; Monthly Quotations update after month-end                                   | **B** ([Japan Exchange Group][32])                     |
| Japan              | `jp`     | Consumer / Essential Goods | **e-Stat**                                                            | Japanese government statistical datasets including CPI and economic statistics                                                          | REST API; XML, JSON and CSV                                    | Free; API use requires e-Stat user registration/application ID                                                                | **A** ([e-Stat][33])                                   |
| Japan              | `jp`     | Property                   | **MLIT Real Estate Information Library**                              | **Actual transaction/contract prices**, total price, area, property type, municipality/district, price per unit, land-price information | Public API + CSV/search/download; GIS/GeoJSON APIs             | Free official; API usage requires application/API-key approval                                                                | **A** ([Reinfolib][34])                                |
| Japan              | `jp`     | Vehicles                   | **Carsensor / Goo-net**                                               | New/used vehicle advertisements and detailed specifications                                                                             | Website/listings                                               | Asking prices                                                                                                                 | **D**                                                  |
| **Netherlands**    | `nl`     | Stocks                     | **Euronext Amsterdam – Delayed Data**                                 | Equity pre/post-trade data                                                                                                              | CSV                                                            | Free delayed data; Euronext usage/licensing restrictions apply                                                                | **B** ([Euronext][8])                                  |
| Netherlands        | `nl`     | Consumer / Essential Goods | **CBS StatLine + Eurostat**                                           | CPI, consumer categories, prices and broad economic statistics                                                                          | OData API + open tables; Eurostat REST/SDMX                    | Free/open official                                                                                                            | **A** ([Centraal Bureau voor de Statistiek][35])       |
| Netherlands        | `nl`     | Property                   | **CBS + Kadaster**                                                    | Existing-home prices, purchase-price statistics, sales, indices and geographic breakdowns                                               | CBS open data/OData tables                                     | Free official aggregate/transaction-derived statistics                                                                        | **A** ([Centraal Bureau voor de Statistiek][36])       |
| Netherlands        | `nl`     | Vehicles                   | **RDW Open Data**                                                     | Vehicle registration information, brand/model, dates, technical fields and **catalogue price (`catalogusprijs`)**                       | Open-data API/OData                                            | Free, CC0/public-domain dataset; catalogue price is **not current used-market value**                                         | **A** ([RDW][37])                                      |
| Netherlands        | `nl`     | Vehicles – Market          | **AutoScout24 Netherlands / Marktplaats**                             | Current asking prices                                                                                                                   | Website/listings                                               | Use to estimate current used-market asking value                                                                              | **D**                                                  |
| **Spain**          | `es`     | Stocks                     | **BME – Post-Trade Data**                                             | Post-trade securities information                                                                                                       | JSON/machine-readable                                          | BME states the post-trade data is available free of charge                                                                    | **A** ([Bolsas y Mercados Españoles][38])              |
| Spain              | `es`     | Consumer / Essential Goods | **INE + Eurostat**                                                    | CPI/HICP, product/service categories and broad economic statistics                                                                      | INE JSON API/OpenAPI; Eurostat REST/SDMX                       | Free official                                                                                                                 | **A** ([INE][39])                                      |
| Spain              | `es`     | Property                   | **INE – Índice de Precios de Vivienda (IPV)**                         | Residential House Price Index, new and second-hand homes, autonomous-community breakdown                                                | INE API/JSON                                                   | Free official; index rather than individual transaction price                                                                 | **A**                                                  |
| Spain              | `es`     | Vehicles                   | **Coches.net / AutoScout24 Spain**                                    | Vehicle listings and asking prices                                                                                                      | Website/listings                                               | Marketplace asking prices                                                                                                     | **D**                                                  |
| **Sweden**         | `se`     | Stocks                     | **Nasdaq Stockholm / Nasdaq Nordic delayed data**                     | Pre/post-trade securities data                                                                                                          | CSV                                                            | Free ~15-minute delayed data; redistribution/commercial licensing caveat                                                      | **B** ([Nasdaq][19])                                   |
| Sweden             | `se`     | Consumer / Essential Goods | **Statistics Sweden (SCB) + Eurostat**                                | CPI/HICP, food, housing, transport, energy and other price series                                                                       | PxWebApi2 + downloadable tables                                | Free official; SCB open data is reusable                                                                                      | **A** ([Statistikmyndigheten SCB][40])                 |
| Sweden             | `se`     | Property                   | **Statistics Sweden (SCB)**                                           | Property price levels, price trends, turnover and real-estate statistics                                                                | PxWeb/API/downloads                                            | Free official                                                                                                                 | **A** ([Statistikmyndigheten SCB][41])                 |
| Sweden             | `se`     | Vehicles                   | **Blocket / Wayke**                                                   | Vehicle advertisements and asking prices                                                                                                | Website/listings                                               | Asking price only                                                                                                             | **D**                                                  |
| **Turkey**         | `tr`     | Stocks                     | **Borsa İstanbul – Daily Bulletin / Market Data**                     | Equity prices, volumes, trades, market statistics and daily bulletin information                                                        | Daily files/CSV/reports                                        | Current bulletin information is free; some historical/professional datasets may be commercial                                 | **B** ([Borsa İstanbul][42])                           |
| Turkey             | `tr`     | Consumer / Essential Goods | **TÜİK / TurkStat Data Portal**                                       | CPI, producer prices, detailed product categories and economic indicators                                                               | SDMX web service + bulk downloads                              | Free official                                                                                                                 | **A** ([Veri Portalı][43])                             |
| Turkey             | `tr`     | Property                   | **Central Bank of Türkiye – EVDS / Residential Property Price Index** | RPPI, new/existing dwellings, regional indices, housing unit prices and rent indicators                                                 | EVDS time-series/API/export                                    | Free official; much of the data is index/aggregate data                                                                       | **A** ([TCMB][44])                                     |
| Turkey             | `tr`     | Vehicles                   | **Arabam.com / Sahibinden**                                           | New/used car advertisements, model/year/mileage and asking price                                                                        | Website/listings                                               | Asking-price data; automation subject to site rules                                                                           | **D**                                                  |
| **United Kingdom** | `gb`     | Stocks                     | **London Stock Exchange (LSE)**                                       | Official exchange securities and market information                                                                                     | Official exchange data products                                | **Do not treat as a free production feed**: non-display/application/derived-data uses may require licensing                   | **B / Restricted** ([London Stock Exchange][45])       |
| United Kingdom     | `gb`     | Consumer / Essential Goods | **Office for National Statistics (ONS)**                              | CPI/CPIH/RPI, price categories and broad UK economic statistics                                                                         | JSON API; CSV/XLSX dataset downloads                           | Free official                                                                                                                 | **A** ([ONS Developer Hub][46])                        |
| United Kingdom     | `gb`     | Property – Index           | **UK House Price Index (UK HPI)**                                     | Average prices, price indices, property type and sales information                                                                      | Full CSV and component CSV files                               | Free official                                                                                                                 | **A** ([GOV.UK][47])                                   |
| United Kingdom     | `gb`     | Property – Transactions    | **HM Land Registry Price Paid Data**                                  | **Actual residential sale prices** in England and Wales, date, property type, location and transaction attributes                       | CSV/TXT downloads                                              | Free under Open Government Licence; excellent source for transaction-price analysis                                           | **A** ([GOV.UK][48])                                   |
| United Kingdom     | `gb`     | Vehicles                   | **AutoTrader UK**                                                     | Current new/used vehicle listings, model/year/mileage/asking price                                                                      | Website/listings                                               | Asking prices, not official transaction prices                                                                                | **D**                                                  |
| **United States**  | `us`     | Stocks – Prices            | **Alpha Vantage Free Tier**                                           | Daily/EOD stock prices, OHLCV and technical/fundamental endpoints                                                                       | REST/JSON/CSV API                                              | Free tier currently limited to **25 requests/day**; not an official exchange source                                           | **C** ([Alpha Vantage][49])                            |
| United States      | `us`     | Company Fundamentals       | **SEC EDGAR / data.sec.gov**                                          | Company filings, submissions, XBRL company facts, financial statements                                                                  | REST/JSON + bulk files                                         | Free official; no API key required. **Does not provide stock market prices**                                                  | **A** ([SEC][50])                                      |
| United States      | `us`     | Consumer / Essential Goods | **Bureau of Labor Statistics (BLS)**                                  | CPI, PPI, average prices for selected food, fuel and utilities, labor/economic statistics                                               | BLS Public Data API, JSON/XLSX                                 | Free; API v1 can work without registration, registered access permits greater usage                                           | **A** ([Bureau of Labor Statistics][51])               |
| United States      | `us`     | Agricultural Commodities   | **USDA MyMarketNews**                                                 | Agricultural market prices, market reports and raw market-news data                                                                     | API/downloads                                                  | Free; API credentials may be required                                                                                         | **A** ([My Market News][52])                           |
| United States      | `us`     | Property                   | **FHFA House Price Index**                                            | House-price indices for U.S., states, metros/cities; long historical series                                                             | CSV, JSON, XML and SQL Master HPI files                        | Free official; >400 cities/metros covered; index rather than listing prices                                                   | **A** ([FHFA.gov][53])                                 |
| United States      | `us`     | Vehicles                   | **Cars.com / CarGurus / AutoTrader**                                  | Vehicle listings, price, year, mileage, location and trim                                                                               | Website/listings                                               | Asking prices only; use OEM sites for authoritative new-car MSRP                                                              | **D**                                                  |
| **GLOBAL**         | `global` | Cryptocurrency             | **Coinbase Public Market Data**                                       | Products, order book, candles, market trades and real-time WebSocket trade/order updates                                                | REST/JSON + WebSocket                                          | Public endpoints require no authentication; public REST has a short cache, WebSocket is preferred for real-time               | **A** ([Coinbase Developer Documentation][54])         |
| GLOBAL             | `global` | Cryptocurrency             | **Binance Spot Public Market Data**                                   | Tickers, trades, klines/candles, order books, exchange information                                                                      | REST/JSON + WebSocket; market-data-only endpoints              | Public market-data endpoints are available without private-account authentication; subject to rate limits                     | **A** ([Binance Developers][55])                       |
| GLOBAL             | `global` | Cryptocurrency – Aggregate | **CoinGecko Demo API**                                                | Aggregated crypto prices, market cap, volume, historical data and metadata                                                              | REST/JSON API                                                  | Free Demo: **10,000 calls/month, 100 calls/min**, data freshness from ~60 sec; attribution required                           | **C** ([CoinGecko][56])                                |
| GLOBAL             | `global` | Commodities                | **World Bank Commodity Price Data – Pink Sheet**                      | Oil, natural gas, coal, gold, silver, metals, grains, food, fertilizers and other global commodities                                    | Monthly/annual downloadable Excel files                        | Free official international source                                                                                            | **A** ([The World Bank][57])                           |
| GLOBAL             | `global` | Commodities                | **IMF Primary Commodity Prices**                                      | Energy, metals, agricultural and other primary commodity price series                                                                   | Database + downloadable files                                  | Free official international source; useful as validation/secondary source                                                     | **A** ([IMF][58])                                      |
| GLOBAL / EU        | `eu`     | Consumer Prices            | **Eurostat HICP**                                                     | Harmonised inflation indices by detailed consumption category for EU countries                                                          | REST/SDMX API; JSON-stat/CSV/XML/TSV                           | Free official and highly suitable for cross-country comparisons                                                               | **A** ([European Commission][59])                      |
